Player,Games Played,Avg FPTS,Projected Avg FPTS,Consistency Value,Injury Risk Value,Consistency and Injury Risk,Overall Score
dante exum,55.0,17.44,17.25,0.35,0.4667,0.43,12.94
amir coffey,70.0,13.67,13.9,0.338,0.9267,0.73,12.85
christian wood,50.0,15.68,15.62,0.348,0.8978,0.71,12.79
daniel theis,60.0,16.32,16.14,0.368,0.5222,0.47,12.73
aaron holiday,78.0,13.29,13.06,0.302,0.9178,0.71,12.51
torrey craig,53.0,14.94,14.78,0.37,0.9244,0.74,12.47
dean wade,54.0,15.7,15.96,0.325,0.6178,0.52,12.38
sam merrill,61.0,15.39,15.54,0.298,0.4711,0.41,12.02
trendon watford,63.0,13.56,14.17,0.31,0.7467,0.6,12.0
gary harris,54.0,15.87,15.08,0.378,0.6444,0.56,11.89
david roddy,65.0,12.03,13.17,0.285,0.9378,0.72,11.81
mo bamba,57.0,14.53,14.28,0.325,0.7889,0.63,11.8
ziaire williams,51.0,15.0,15.67,0.302,0.5844,0.49,11.76
joe ingles,68.0,13.78,13.09,0.358,0.8133,0.66,11.67
jaden hardy,73.0,11.42,12.5,0.275,0.9289,0.71,11.67
delon wright,47.0,15.81,15.06,0.31,0.7467,0.6,11.55
chimezie metu,51.0,15.18,14.91,0.282,0.6889,0.55,11.49
quentin grimes,51.0,13.51,14.11,0.365,0.7933,0.65,11.34
jarred vanderbilt,29.0,16.14,15.86,0.345,0.8622,0.69,11.22
kenrich williams,69.0,12.68,12.46,0.338,0.84,0.67,11.21
brice sensabaugh,32.0,13.03,16.02,0.275,0.7978,0.62,11.2
jock landale,56.0,13.02,13.6,0.262,0.8178,0.63,11.18
chris boucher,50.0,13.68,13.53,0.332,0.9133,0.72,11.12
jeff green,78.0,11.76,11.43,0.315,0.9556,0.74,11.07
gary payton ii,44.0,14.93,14.88,0.358,0.66,0.56,10.99
ben sheppard,57.0,9.72,12.8,0.255,0.8978,0.68,10.79
noah clowney,23.0,14.17,16.68,0.238,0.76,0.59,10.75
mason plumlee,46.0,13.74,13.28,0.375,0.9044,0.73,10.7
rob williams,6.0,22.83,22.43,0.52,0.2467,0.34,10.69
blake wesley,61.0,11.66,12.77,0.268,0.7644,0.6,10.68
jaxson hayes,70.0,11.31,11.5,0.25,0.9222,0.7,10.52
jared bulter,40.0,15.58,16.28,0.28,0.3667,0.34,10.51
josh okogie,60.0,12.4,12.18,0.342,0.8422,0.68,10.46
malachi flynn,69.0,11.54,11.65,0.228,0.8356,0.63,10.33
davion mitchell,72.0,10.42,10.89,0.28,1.0,0.76,10.29
bones hyland,37.0,13.81,14.43,0.192,0.7067,0.54,10.06
jae’sean tate,65.0,11.4,11.51,0.36,0.7889,0.65,10.05
jalen wilson,43.0,10.37,12.86,0.315,0.8422,0.67,9.91
tristan vukcevic,10.0,17.1,17.1,0.312,0.7067,0.58,9.86
nick smith jr,51.0,9.41,12.13,0.258,0.8733,0.67,9.83
maxi kleber,43.0,13.95,13.8,0.335,0.5222,0.46,9.67
dwight powell,63.0,11.48,10.91,0.262,0.9467,0.72,9.67
bol bol,43.0,12.77,12.98,0.262,0.7244,0.57,9.57
cam reddish,48.0,12.69,12.9,0.25,0.5578,0.46,9.36
neemias queta,28.0,16.0,16.72,0.31,0.2422,0.26,9.35
